Protocol,Source,Destination,SrcPort,DstPort,Size
UDP,10.203.10.70,140.232.248.140,55047,53,105
UDP,10.203.10.70,140.232.248.141,55047,53,105
UDP,140.232.248.140,10.203.10.70,53,55047,419
UDP,140.232.248.141,10.203.10.70,53,55047,419
TCP,10.203.10.70,13.107.139.11,51326,443,66
TCP,10.203.10.70,13.89.179.9,51327,443,66
TCP,13.107.139.11,10.203.10.70,443,51326,66
TCP,13.107.139.11,10.203.10.70,443,51326,66
TCP,13.89.179.9,10.203.10.70,443,51327,66
TCP,10.203.10.70,13.107.139.11,51326,443,66
TCP,10.203.10.70,13.89.179.9,51327,443,54
TCP,10.203.10.70,13.89.179.9,51327,443,571
TCP,10.203.10.70,13.107.139.11,51326,443,982
TCP,13.89.179.9,10.203.10.70,443,51327,153
TCP,10.203.10.70,13.89.179.9,51327,443,491
TCP,13.107.139.11,10.203.10.70,443,51326,1514
TCP,13.107.139.11,10.203.10.70,443,51326,2974
TCP,13.107.139.11,10.203.10.70,443,51326,1514
TCP,10.203.10.70,13.107.139.11,51326,443,66
TCP,10.203.10.70,13.107.139.11,51326,443,54
TCP,10.203.10.70,13.107.139.11,51326,443,54
TCP,10.203.10.70,142.251.167.94,50077,443,144
TCP,10.203.10.70,142.251.167.94,50077,443,93
TCP,13.107.139.11,10.203.10.70,443,51326,1514
TCP,13.89.179.9,10.203.10.70,443,51327,165
TCP,142.251.167.94,10.203.10.70,443,50077,60
TCP,142.251.167.94,10.203.10.70,443,50077,60
TCP,142.251.167.94,10.203.10.70,443,50077,93
TCP,10.203.10.70,13.107.139.11,51326,443,66
TCP,10.203.10.70,13.89.179.9,51327,443,66
TCP,142.251.167.94,10.203.10.70,443,50077,126
TCP,142.251.167.94,10.203.10.70,443,50077,128
TCP,142.251.167.94,10.203.10.70,443,50077,85
TCP,142.251.167.94,10.203.10.70,443,50077,93
TCP,10.203.10.70,142.251.167.94,50077,443,54
TCP,10.203.10.70,142.251.167.94,50077,443,89
TCP,10.203.10.70,142.251.167.94,50077,443,93
UDP,10.203.10.70,140.232.248.140,61488,53,80
UDP,10.203.10.70,140.232.248.140,60498,53,80
UDP,140.232.248.140,10.203.10.70,53,61488,178
TCP,142.251.167.94,10.203.10.70,443,50077,60
TCP,13.89.179.9,10.203.10.70,443,51327,2974
TCP,13.89.179.9,10.203.10.70,443,51327,165
TCP,10.203.10.70,13.89.179.9,51327,443,66
TCP,10.203.10.70,13.89.179.9,51327,443,66
TCP,10.203.10.70,20.42.73.24,63473,443,173
